"x","y","cropland_irrigated","cropland_rainfed","cropland_total","pastures"
-2.25,37.75,0.013064620034614,0.38194670577844,0.395011319716771,0.0863484275837739
-1.75,37.75,0.0815934819479783,0.283679833511511,0.365273314714432,0.121737806250652
-1.25,37.75,0.212055190900962,0.189295081545909,0.401350272695223,0.111955660581589
-0.75,37.75,0.170783081154029,0.0565165500467022,0.227299632132053,0.0354463202257951
8.75,37.75,0,0,0,0
12.25,37.75,0,0.00868317995530864,0.00868317995530864,0.00899099058782061
12.75,37.75,0.0299237876820068,0.286600250999133,0.316524040699005,0.348653229077657
13.25,37.75,0.00881832094164565,0.589412880937258,0.598231206337611,0.280822452902794
13.75,37.75,0.00171660309036573,0.645816347996394,0.647532947858175,0.240164549152056
14.25,37.75,0,0.509500776727994,0.509500776727994,0.314686753352483
14.75,37.75,0.0226640894077718,0.305949819087982,0.328613910079002,0.298537184794744
15.25,37.75,0.00364501820586156,0.0379573629548152,0.0416023808221022,0.132995322098335
15.75,37.75,0,0.0282699858769774,0.0282699858769774,0.0352316624174515
16.25,37.75,0,0.0108351744711399,0.0108351744711399,0.0112006273120642
20.75,37.75,0,0.0139608672509591,0.0139608672509591,0.0877224785586198
21.25,37.75,0.0661802309254805,0.0342505567396681,0.10043078760306,0.156747343639533
21.75,37.75,0.0238480800762773,0.196159361302853,0.220007440447807,0.506840988993645
22.25,37.75,0.00351597104842464,0.190465099612872,0.193981071313222,0.530743733048439
22.75,37.75,0.0741823397576809,0.24445749570926,0.318639839688937,0.492012256383896
23.25,37.75,0,0.0767704881727695,0.0767704881727695,0.261282110214233
23.75,37.75,0,0.0973526952167352,0.0973526952167352,0.0762282816072305
24.25,37.75,0,0.0218154042338332,0.0218154042338332,0.058322054396073
24.75,37.75,0,0.0178963136859238,0.0178963136859238,0.114387337615093
25.25,37.75,0,0.0108157409355044,0.0108157409355044,0.0453252725303173
26.25,37.75,0,0.00945460170817872,0.00945460170817872,0.0637059378127257
26.75,37.75,0,0.025838480082651,0.025838480082651,0.0615587784598271
27.25,37.75,0.11772618740797,0.106554934879144,0.224281120796998,0.108256811648607
27.75,37.75,0.126840132226547,0.263030480841796,0.389870607852936,0.197551813721657
28.25,37.75,0.0856479713072379,0.264847068985303,0.350495037436485,0.203110186258952
28.75,37.75,0.0703374211365978,0.254337839782238,0.324675260980924,0.175719749927521
29.25,37.75,0.109243161976337,0.250596535205841,0.359839693705241,0.115365265806516
29.75,37.75,0.014520868670661,0.326043507456779,0.340564376115799,0.105368314683437
30.25,37.75,0.0666907275095582,0.28565810918808,0.35234883526961,0.135773164530595
30.75,37.75,0.0570596468324463,0.222171361247698,0.279231002926826,0.0636196571091811
31.25,37.75,0.0122451342564697,0.23853724549214,0.250782380004724,0.0364378438020746
31.75,37.75,0.0491265303765734,0.36160474717617,0.410731273889542,0.17793656339248
32.25,37.75,0.0138889286861134,0.384215326110522,0.398104256391525,0.176412330567837
32.75,37.75,0.371422782540321,0.18187166005373,0.5532944470644,0.1495590262115
33.25,37.75,0.0345766281476244,0.445202899972598,0.479779521624247,0.125959491978089
33.75,37.75,0.0356163285051783,0.335485185186068,0.371101512511571,0.0216233009472489
34.25,37.75,0.137036229421695,0.310885764161746,0.447921998302142,0.0674323237190644
34.75,37.75,0,0.273821837703387,0.273821837703387,0.148005205392838
35.25,37.75,0,0.150008235871792,0.150008235871792,0.0451329629868269
35.75,37.75,0,0.153390237192313,0.153390237192313,0.0483361831555764
36.25,37.75,0.00111662467631201,0.26850098669529,0.269617612163226,0.0544611657659213
36.75,37.75,0.0719925460716089,0.177213045954704,0.24920559078455,0.0990335198740164
37.25,37.75,0.0124805048961813,0.296528787414233,0.309009295701981,0.178785413006941
37.75,37.75,0,0.363089321057002,0.363089321057002,0.219089286526044
38.25,37.75,0.0205850705077561,0.416784265637398,0.437369335691134,0.207177840173244
38.75,37.75,0.0504677792467798,0.383281431595484,0.433749205867449,0.253422651191552
39.25,37.75,0.0484565596096218,0.42631215552489,0.474768710136414,0.349334247907003
39.75,37.75,0,0.327763508756955,0.327763508756955,0.389246435960134
40.25,37.75,0.0992267825951179,0.418630905946096,0.517857684691747,0.302509947121143
40.75,37.75,0.170877533281843,0.411176557342211,0.582054096460342,0.269204145669937
41.25,37.75,0.0556871965527534,0.41320771475633,0.468894908825556,0.245378771424294
41.75,37.75,0.0146292872261256,0.450099198023478,0.464728484551112,0.318046762545904
42.25,37.75,0,0.45763529141744,0.45763529141744,0.277889662484328
42.75,37.75,0,0.334166797995567,0.334166797995567,0.14886129150788
43.25,37.75,0.01361996489577,0.341770643989245,0.35539060930411,0.0919572631518046
43.75,37.75,0,0.35965910255909,0.35965910255909,0.103405223041773
44.25,37.75,0.0017374133914321,0.421428049604098,0.423165462414424,0.256300070385138
44.75,37.75,0.0928922771165768,0.228475708762805,0.321367987990379,0.611322063207626
45.25,37.75,0.153010358164708,0.0272387471050024,0.180249105393887,0.208546803394953
45.75,37.75,0.0712038099765778,0.0492076518634955,0.120411461840073,0.60898798207442
46.25,37.75,0.0520466375164688,0.218780587116877,0.270827222367128,0.70459158817927
46.75,37.75,0.0617141337444385,0.250863143801689,0.312577279408773,0.665819805860519
47.25,37.75,0.12013489715755,0.229487487673759,0.349622387687365,0.630554153521856
47.75,37.75,0.172189947466056,0.215164566040039,0.387354513009389,0.58738198975722
48.25,37.75,0.0125932016720374,0.275014420847098,0.287607622146606,0.690659846862157
48.75,37.75,0.030588888314863,0.20105952868859,0.231648419300715,0.292662318050861
49.25,37.75,0.0410948781917493,0.00126297107199207,0.0423578492055337,0.0361826906601588
54.25,37.75,0.000115297059771062,3.22716620454836e-05,0.000147568721634646,0.884937030076981
54.75,37.75,0.0141062036001434,0.0311496411139766,0.0452558450400829,0.818338986237844
55.25,37.75,0.0317920592962764,0.270259349048138,0.302051413059235,0.564610633254051
55.75,37.75,0.0414840105378971,0.322730195025603,0.364214207728704,0.443655810753504
56.25,37.75,0.00736018767929636,0.115729282051325,0.123089469969273,0.276023187239965
56.75,37.75,0.0101441961676528,0.127722036341826,0.137866231550773,0.0376722332090139
57.25,37.75,0.00740423451885969,0.13913618872563,0.146540425221125,0.124654620885849
57.75,37.75,0.00180306520948458,0.0757828094065189,0.0775858742495378,0.218583157658577
58.25,37.75,0.0269227826346954,0.0144203217079242,0.0413431038459142,0.464995881915092
58.75,37.75,0.171993586421013,0.0439750872552395,0.21596867442131,0.471465482314428
59.25,37.75,0.182058990995089,0.00679384434285263,0.188852835694949,0.626654789845149
59.75,37.75,0.0343053862452507,0.00194212991433839,0.0362475160509348,0.840899628400803
60.25,37.75,0.346908733248711,0.00350258033722639,0.35041131178538,0.482370406389236
60.75,37.75,0.130930951237679,0.00132650627340096,0.132257457574209,0.73667201201121
61.25,37.75,0.095141622175773,0.00237045282427391,0.0975120750566324,0.772991655270259
61.75,37.75,0.43682958483696,0.000202910666730964,0.437032497922579,0.315983631213506
62.25,37.75,0.439483923713366,0.00157930321292952,0.441063227256139,0.343126844366392
62.75,37.75,0.014577126239116,0.00173481948052843,0.016311945548902,0.7908291776975
63.25,37.75,0.00288252861937508,0.000653749897416371,0.00353627856820822,0.832185490926107
63.75,37.75,0.00150081667185683,0.000352683739038184,0.00185350042302161,0.833851106961568
64.25,37.75,0.00850137777160853,0.00114028462752079,0.00964166239524881,0.757929207881292
64.75,37.75,0.0109108937360967,0.00172099235157172,0.0126318860488633,0.734433309237162
65.25,37.75,0.127201464027166,0.000983993119249741,0.128185456742843,0.70295941233635
65.75,37.75,0.112168909360965,0.00328729987377301,0.115456208586693,0.737202564875285
66.25,37.75,0.0131746857427061,0.000604060732681925,0.0137787465626995,0.776410160462062
66.75,37.75,0.0558578365792831,0.0205857313548525,0.0764435678720474,0.609027775128682
67.25,37.75,0.301003151138624,0.106019682685534,0.407022831837336,0.380578950047493
